fecha,producto
2023-12-09,LICOR COINTREAU 70C
2023-12-09,LICOR RIVES GRANADI
2023-12-09,PEPSI MAX S/CAF 9U
2023-12-09,TEQUILA JARANA
2023-12-09,CEREALES SPECIAL K
2023-12-09,GALLETA CHOCO FLAKE
2023-12-09,MOSTAZA BARRILITO
2023-12-09,PICADA MIXTA DOBLE
2025-12-23,BOLSA PLASTICO
2025-12-23,SPRAY ROPA LIMPIA
2025-12-23,REC AUTO PURE COTTON
2025-12-23,ROLLO HOGAR DOBLE
2025-12-23,PANECILLO SEMILLAS
2025-09-30,PAPEL HIGIÉNICO 4 CA
2025-09-30,PAN 51% INTEGRAL 5UN
2025-09-30,MINI 6
2025-09-30,PIPA GIGANTE SAL
2025-09-30,GARBANZOS
2025-09-30,CALDO POLLO
2025-09-30,MAXI HAMBURGUESA
2025-09-30,Q RALLADO EMMENTAL
2025-09-30,MEZCLA 4 QUESOS
2025-09-30,ARROZ FALLERA
2025-09-30,NATA MONTAR
2025-09-30,NATA PARA COCINAR
2025-09-30,PICATOSTE FRITO
2025-09-30,CREMA CALABAZA
2025-09-30,20 B.GRANDES C FACIL
2025-09-30,CREMA VERDURAS
2025-09-30,CREMA CALABACÍN
2025-10-18,MINI 6
2025-10-18,20 B.GRANDES C FACIL
2025-10-18,ALMEJA PACIFIC
2025-10-18,ALISTADO MED
2025-10-18,ATÚN
2025-10-18,GAMBA PELADA CRUDA
2025-11-13,PATATA 3 KG
2025-11-13,SAL YODADA
2025-11-13,MORCILLA CEBOLLA FRE
2025-11-13,POLLO CRISPY
2025-11-13,PUERRO CORTADO
2025-10-18,CALAMAR PEQUEÑO
2025-10-18,SNACK PIPAS
2025-10-18,SNACK CHOCOLATE
2025-10-18,PATATAS EXTRACRUNCH
2025-10-18,JAMÓN S. S/ADITIVOS
2025-10-18,LOMO EMBUCHADO
2025-10-18,PECHUGA PAVO 92%
2025-10-18,MAXI HAMBURGUESA
2025-10-18,CRACKERS
2025-10-18,C. COCIDO 100% NAT
2025-10-18,FOCACCIA
2025-10-18,TOMATE TROCEADO
2025-10-18,FUMET DE PESCADO
2025-10-18,6 HUEVOS COCIDOS
2025-10-18,CREMA CALABACÍN
2025-10-18,CREMA VERDURAS
2025-10-18,QUESO BURGOS NATURAL
2025-10-18,ARROZ FALLERA
2025-10-18,LENTEJA PARDINA
2025-10-18,Q CREMOSO
2025-10-18,Q. LONCHAS LIGHT
2025-10-18,Q SEMI MEZCLA
2025-10-18,BURGER VACUNO GRUESA
2025-10-18,PIMENTON DULCE D.O
2025-10-18,SAZONADOR PAELLA
2025-10-18,AZAFRAN MOLIDO
2025-11-06,POLLO CURRY C/ARROZ
2025-11-11,COPOS ESPECIAL K
